display  D   display_settings.c:377  _al_score_display_settings       [   0.17351] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17352] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17354] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17355] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17356] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17357] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17358] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17359] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17361] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17362] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17363] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17364] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17365] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17366] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17368] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17369] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17370] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17371] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17373] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17374] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17375] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17376] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17378] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17379] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17380] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17381] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17382] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17383] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17387] Single Buffer requirement not met.
